V1,23E,0,4737
V1,23I,4738,6073
V1,4E,6074,13111
V1,4I,13112,14870
V1,5E,14871,16944
V1,5I,16945,17399
V1,6E,17400,19382
V1,6I,19383,19788
V2,23E,0,5051
V2,23I,5052,6476
V2,4E,6477,10144
V2,4I,10145,11061
V2,5E,11062,12968
V2,5I,12969,13386
V2,6E,13387,15310
V2,6I,15311,15704
VP,23E,0,5296
VP,23I,5297,6790
VP,4E,6791,11719
VP,4I,11720,12951
VP,5E,12952,14543
VP,5I,14544,14892
VP,6E,14893,16805
VP,6I,16806,17196
V3,23E,0,5846
V3,23I,5847,7495
V3,4E,7496,12237
V3,4I,12238,13422
V3,5E,13423,14627
V3,5I,14628,14891
V3,6E,14892,16343
V3,6I,16344,16640
V3A,23E,0,4087
V3A,23I,4088,5240
V3A,4E,5241,7618
V3A,4I,7619,8212
V3A,5E,8213,9479
V3A,5I,9480,9757
V3A,6E,9758,11278
V3A,6I,11279,11589
MT,23E,0,6059
MT,23I,6060,7768
MT,4E,7769,10588
MT,4I,10589,11293
MT,5E,11294,12710
MT,5I,12711,13021
MT,6E,13022,14604
MT,6I,14605,14928
V4t,23E,0,4816
V4t,23I,4817,6174
V4t,4E,6175,9647
V4t,4I,9648,10515
V4t,5E,10516,12000
V4t,5I,12001,12326
V4t,6E,12327,14110
V4t,6I,14111,14475
V4,23E,0,6443
V4,23I,6444,8260
V4,4E,8261,11645
V4,4I,11646,12491
V4,5E,12492,13890
V4,5I,13891,14197
V4,6E,14198,15613
V4,6I,15614,15903
VOT,23E,0,4530
VOT,23I,4531,5808
VOT,4E,5809,9569
VOT,4I,9570,10509
VOT,5E,10510,12091
VOT,5I,12092,12438
VOT,6E,12439,14338
VOT,6I,14339,14727
MSTd,23E,0,4433
MSTd,23I,4434,5683
MSTd,4E,5684,7935
MSTd,4I,7936,8498
MSTd,5E,8499,9972
MSTd,5I,9973,10295
MSTd,6E,10296,12065
MSTd,6I,12066,12427
PIP,23E,0,4433
PIP,23I,4434,5683
PIP,4E,5684,7935
PIP,4I,7936,8498
PIP,5E,8499,9972
PIP,5I,9973,10295
PIP,6E,10296,12065
PIP,6I,12066,12427
PO,23E,0,4433
PO,23I,4434,5683
PO,4E,5684,7935
PO,4I,7936,8498
PO,5E,8499,9972
PO,5I,9973,10295
PO,6E,10296,12065
PO,6I,12066,12427
DP,23E,0,4392
DP,23I,4393,5631
DP,4E,5632,7520
DP,4I,7521,7992
DP,5E,7993,9409
DP,5I,9410,9720
DP,6E,9721,11422
DP,6I,11423,11770
