# NEST version: 3.3
# RecordingBackendASCII version: 2
sender	time_ms
603	50.700
655	51.000
903	50.600
910	50.200
16	52.000
31	51.100
67	52.100
170	52.000
192	52.100
211	51.900
223	52.400
238	51.800
281	52.100
338	51.700
361	51.400
469	51.100
499	52.000
551	52.300
567	51.800
585	51.200
716	52.200
926	52.200
950	52.400
991	51.400
998	51.400
12	53.100
13	53.100
55	53.100
158	52.800
221	53.600
271	53.700
289	53.600
307	52.900
314	53.600
367	54.000
394	53.500
420	53.800
423	54.000
518	54.000
548	54.000
555	54.000
569	53.600
574	54.000
579	53.600
590	53.800
591	53.900
663	53.600
685	54.000
693	53.100
732	54.000
772	53.900
799	53.700
823	52.800
835	54.000
853	53.600
881	53.700
992	53.800
111	54.200
139	54.100
167	54.300
210	54.200
231	54.500
306	54.200
447	54.700
450	54.400
541	54.600
594	54.800
601	54.500
684	54.300
723	54.500
727	55.000
737	54.200
784	54.200
834	55.000
897	54.200
929	54.600
957	54.400
994	54.300
204	61.400
220	61.500
112	61.800
160	61.600
421	61.800
115	63.900
155	63.800
176	64.500
249	63.600
472	63.700
526	63.800
547	64.500
628	63.800
796	64.100
17	65.400
30	65.700
74	65.200
88	65.700
90	66.000
105	64.700
118	65.700
153	64.600
168	65.100
171	65.700
173	65.800
189	66.000
200	64.600
208	65.900
252	65.500
277	65.700
282	64.800
294	65.800
316	65.000
318	65.100
329	66.000
391	65.200
411	65.000
425	65.700
427	65.600
487	65.000
507	65.400
516	65.800
534	65.600
560	66.000
575	64.900
577	65.700
588	65.800
611	65.300
629	65.700
632	65.100
641	65.400
666	64.600
672	65.700
677	65.600
678	65.900
686	65.300
692	65.700
700	65.000
709	64.900
742	65.700
775	65.700
778	65.400
788	66.000
814	65.700
837	65.400
860	65.700
872	65.700
876	65.400
892	66.000
908	64.700
913	64.800
918	65.800
995	65.300
7	66.500
63	66.100
376	66.100
445	66.800
538	66.100
759	66.100
848	66.100
52	74.800
197	75.000
290	76.500
10	77.200
117	77.600
705	77.400
889	77.900
1	79.300
95	78.800
279	78.800
374	78.600
530	78.600
755	78.200
84	80.900
125	80.900
134	80.100
147	79.600
199	80.900
259	80.000
278	80.400
309	80.000
319	80.200
326	80.200
338	80.300
352	79.900
395	81.000
481	80.600
490	80.900
494	80.100
605	80.800
625	81.000
792	79.600
810	80.800
818	80.000
887	80.300
911	80.700
965	80.500
20	82.100
39	81.500
58	81.900
61	82.500
118	81.200
123	82.300
128	82.000
132	82.200
135	82.400
154	82.500
155	82.000
156	81.100
185	81.400
219	82.500
221	81.400
229	82.500
231	82.300
236	82.400
239	81.300
261	81.900
268	81.300
275	81.400
287	82.100
295	82.500
303	82.400
316	82.100
332	82.400
335	82.500
357	82.300
377	81.500
383	82.500
388	82.200
390	82.200
429	82.300
432	82.500
451	82.500
456	81.600
460	82.400
495	81.900
498	82.500
499	82.000
508	81.400
512	82.500
536	82.200
539	81.800
565	82.500
570	81.100
592	82.500
602	81.500
607	82.100
615	81.500
637	81.800
658	81.100
662	81.100
671	82.000
685	82.400
707	81.900
719	82.500
724	82.500
739	82.500
751	82.400
757	82.100
761	82.500
771	82.000
783	82.400
806	82.400
851	81.700
854	82.300
870	82.300
879	82.300
892	81.600
912	82.100
915	82.400
956	82.400
966	82.100
983	82.100
999	82.500
9	83.200
42	82.700
53	82.600
69	82.900
91	82.800
109	83.500
126	82.900
133	82.700
145	83.000
160	83.200
173	82.800
181	83.000
182	83.300
183	83.500
184	82.600
188	82.600
194	82.600
203	83.200
206	82.600
223	83.200
240	82.600
244	83.000
246	83.200
251	82.800
254	83.400
276	83.200
288	82.800
291	83.400
321	82.700
323	82.900
328	82.700
343	83.400
359	83.300
369	83.200
376	82.800
379	82.800
391	83.100
397	83.100
401	82.900
409	83.200
414	82.800
417	83.000
418	82.700
428	82.900
433	83.100
446	83.500
448	82.700
454	83.100
461	83.000
479	82.900
504	83.200
511	82.800
520	82.700
553	83.200
554	83.100
556	83.500
569	83.100
573	82.800
580	82.900
585	83.000
610	83.300
640	82.700
641	82.600
642	82.900
649	83.200
651	82.900
653	82.700
661	82.800
663	83.200
666	82.800
681	83.200
683	82.600
687	83.300
691	82.800
697	83.400
710	82.800
712	82.800
716	82.700
723	82.800
734	83.400
744	82.800
756	82.800
766	82.700
770	82.900
775	83.000
797	82.700
850	83.300
855	83.700
857	83.100
865	83.000
872	83.600
883	82.800
885	83.200
891	83.000
901	82.600
902	82.800
913	82.600
920	82.800
925	82.800
933	82.900
943	82.600
954	82.600
962	82.900
975	82.700
981	82.800
986	83.000
989	83.100
991	82.700
104	98.700
361	98.300
537	99.200
645	99.500
877	99.300
3	101.300
4	101.800
29	101.400
30	102.000
52	101.900
82	101.900
87	101.900
112	102.000
114	101.900
234	100.600
304	100.700
320	101.200
334	101.600
339	101.000
345	101.800
384	101.700
423	101.900
435	101.000
455	101.600
465	101.800
